	gene_length	count	rel_abundance
PJPBKL_29220	1496	1958	0.00014238657089052964
PJPBKL_69935	1895	1953	6.668702041628416e-05
PJPBKL_65485	3308	1927	6.790798861626906e-05
PJPBKL_46745	2153	1924	0.00017320641386206988
PJPBKL_33575	1607	1916	9.045827854998251e-05
PJPBKL_05630	1925	1904	0.00011911239109546617
PJPBKL_39500	1052	1897	8.917283087051178e-05
PJPBKL_53145	1295	1897	6.645323594506143e-05
PJPBKL_63200	1754	1887	0.0002085188126183762
PJPBKL_62415	1700	1879	9.508676260962466e-05
PJPBKL_12125	1352	1869	0.00026793875920526344
PJPBKL_43960	2162	1866	0.0001202198053145798
PJPBKL_12520	2000	1865	0.00018073895734641187
PJPBKL_32915	1925	1856	0.00018687455441520308
PJPBKL_60245	1193	1848	9.000616408038148e-05
PJPBKL_74255	833	1841	6.212539915032003e-05
CAAFCJ_05245	2234	1837	0.00015937820072693692
PJPBKL_32270	1319	1830	8.228982970199672e-05
PJPBKL_63855	1373	1830	0.00010079305451973083
PJPBKL_37115	1046	1807	7.411928802030434e-05
PJPBKL_04260	2675	1797	0.00013020486837273017
PJPBKL_59345	2054	1797	7.284836235132911e-05
PJPBKL_45490	2333	1780	6.729351475362522e-05
PJPBKL_23210	1916	1768	0.00017885030620565419
PJPBKL_04245	2081	1760	0.0001639243686615323
PJPBKL_04035	2096	1758	0.0001625663011967092
PJPBKL_21650	3713	1757	9.171697963106098e-05
PJPBKL_43085	1844	1757	9.302191718177323e-05
PJPBKL_63035	2792	1753	0.00012169407507787858
PJPBKL_00560	713	1746	6.524160611717111e-05
PJPBKL_67655	1745	1745	9.796616015396591e-05
PJPBKL_08985	869	1744	6.914246356002268e-05
PJPBKL_16105	2258	1744	0.00014970126668462316
PJPBKL_09125	4118	1739	8.184952658645305e-05
PJPBKL_23785	3911	1737	8.608251255603874e-05
PJPBKL_74700	1574	1733	0.00010035888158263857
PJPBKL_14670	1697	1732	9.959500889035922e-05
PJPBKL_29735	3428	1728	9.770254059600631e-05
PJPBKL_62240	1421	1717	6.901752337479697e-05
PJPBKL_51435	1544	1712	7.820664992347066e-05
PJPBKL_39895	947	1711	7.081561838214484e-05
PJPBKL_42520	1352	1704	0.00019425201643827284
PJPBKL_57155	2216	1694	0.00014816532638322398
PJPBKL_05950	4367	1690	7.500780295684268e-05
PJPBKL_43455	1115	1690	6.67512325188061e-05
PJPBKL_71005	1361	1684	0.00013073368056054518
PJPBKL_66415	1790	1682	0.00013719128249458797
PJPBKL_50800	1400	1678	6.534568201264374e-05
PJPBKL_75005	2636	1668	0.00012264605192440208
PJPBKL_68490	1505	1667	8.49983250460088e-05
PJPBKL_06765	4100	1663	7.861606906874596e-05
PJPBKL_26605	1892	1657	0.00016974786022876313
PJPBKL_55845	1385	1657	0.00015813631056721901
PJPBKL_00995	2765	1647	0.0001154519827020213
PJPBKL_25395	2675	1643	0.00011904652127790524
PJPBKL_08850	2420	1637	8.866152295769302e-05
PJPBKL_48000	2507	1634	0.0001263282995511921
PJPBKL_53575	1043	1626	0.0001046229637501946
PJPBKL_21030	4775	1623	6.587916348794441e-05
PJPBKL_47920	1778	1604	0.00011991233520270271
PJPBKL_06630	1619	1602	8.248506201436877e-05
PJPBKL_59480	1220	1601	0.00011216253143459482
PJPBKL_46325	1538	1599	8.821544650270942e-05
PJPBKL_45965	1316	1589	6.730746637166019e-05
PJPBKL_36100	4709	1583	6.515611130346373e-05
PJPBKL_40485	4259	1581	7.19493975702429e-05
PJPBKL_46755	1787	1580	0.00016779101194951276
PJPBKL_34315	4670	1574	6.532670892600704e-05
PJPBKL_20075	1631	1570	7.46291705534667e-05
PJPBKL_55435	1265	1561	7.446439680009849e-05
PJPBKL_18065	1358	1557	0.00013930059768552396
CAAFCJ_05325	1907	1554	0.00037768344113855485
PJPBKL_29305	2309	1550	0.00013011000613611892
APJOLJ_70010	1787	1547	7.527276166319448e-05
PJPBKL_72235	1928	1547	0.0001057576135674776
PJPBKL_37440	1412	1539	9.375381286984736e-05
PJPBKL_34730	1991	1533	0.00014923607796050022
PJPBKL_05740	1271	1532	8.173765449313877e-05
PJPBKL_52665	1298	1532	8.287455753934376e-05
PJPBKL_69350	1379	1532	0.00012129683295386636
PJPBKL_09400	1349	1530	9.741384290686361e-05
PJPBKL_13080	1673	1528	0.00012523700846689577
PJPBKL_37840	1718	1525	6.261418840865437e-05
PJPBKL_08165	1058	1523	7.95072978895308e-05
PJPBKL_39110	4301	1523	6.863306483088235e-05
PJPBKL_08715	2435	1520	0.00012098946448587503
PJPBKL_22720	2114	1518	0.00010571272219185408
PJPBKL_32655	1601	1518	6.682680191851899e-05
PJPBKL_46155	689	1512	6.0762755653684616e-05
PJPBKL_12505	2069	1509	6.651211991440215e-05
PJPBKL_02950	1961	1508	0.00014904818091026443
PJPBKL_34450	1415	1507	0.00014588011601013927
PJPBKL_22480	1544	1503	7.657472945957803e-05
PJPBKL_39805	3359	1503	8.672651773568414e-05
PJPBKL_61545	2006	1502	0.00011092102942308774
PJPBKL_22315	2408	1494	0.00012025331213895565
PJPBKL_31075	890	1494	0.00012543981616595866
PJPBKL_48180	4487	1494	6.453531883900272e-05
PJPBKL_09390	1802	1493	9.325395138516876e-05
PJPBKL_14610	800	1488	7.050273001046362e-05
PJPBKL_42830	1655	1480	7.003354624018812e-05
PJPBKL_68420	2978	1480	9.632520768844253e-05
PJPBKL_36190	4448	1478	6.440396236956736e-05
PJPBKL_49035	1544	1477	9.942161595407508e-05
PJPBKL_02030	1181	1474	0.0002419081599213745
PJPBKL_35965	1379	1474	7.16817900422617e-05
PJPBKL_23225	2429	1470	0.00011729857929783897
PJPBKL_57490	1829	1470	7.767713541874208e-05
PJPBKL_13880	1190	1467	7.932040663050225e-05
PJPBKL_46195	1430	1467	7.020962515640815e-05
PJPBKL_05405	1313	1466	6.332795999715013e-05
PJPBKL_70050	1895	1465	7.875614374315768e-05
PJPBKL_15665	2087	1462	0.00013577751490611697
PJPBKL_72085	356	1461	5.607769559502492e-05
PJPBKL_49640	2489	1458	0.00011353651500858728
PJPBKL_73355	4109	1457	6.87268347330739e-05
PJPBKL_65330	1190	1456	0.00010244873874863638
PJPBKL_77265	2147	1452	0.00013108032334761767
PJPBKL_70310	2384	1446	7.097590269509759e-05
PJPBKL_66650	1076	1443	0.0001610379300434458
PJPBKL_62790	2582	1442	0.00010824602433989319
PJPBKL_57160	1379	1435	0.00013591429602130794
PJPBKL_22880	1394	1429	8.99589626958343e-05
PJPBKL_25275	1988	1422	0.00013863923344172146
PJPBKL_33570	1901	1420	7.850757095911825e-05
PJPBKL_61005	1619	1418	7.518232067492537e-05
PJPBKL_58015	1637	1416	7.305322898766044e-05
PJPBKL_36745	1748	1413	0.0001566764294271078
PJPBKL_69310	2189	1411	6.729313522684003e-05
PJPBKL_75190	2456	1410	8.365279090532638e-05
PJPBKL_41060	809	1409	9.798908864375302e-05
PJPBKL_50260	2408	1409	0.00011341159089945682
PJPBKL_18920	806	1404	7.502784703474677e-05
PJPBKL_05705	1721	1400	0.00015767037387700997
PJPBKL_61460	1289	1400	7.08224459887728e-05
PJPBKL_74270	1613	1399	7.113613601889196e-05
PJPBKL_33105	2000	1394	9.613568133385555e-05
PJPBKL_18595	1547	1393	0.00010311276995246146
PJPBKL_33415	2552	1387	0.00010534131200865358
PJPBKL_50565	2780	1384	9.649264835667793e-05
PJPBKL_67720	1937	1384	0.00011687352802590396
PJPBKL_12005	1469	1382	6.531100026935497e-05
PJPBKL_31265	1490	1380	6.100838188133017e-05
PJPBKL_58840	2144	1380	0.00012475479229425012
PJPBKL_46505	1331	1378	0.00010732289138510267
PJPBKL_08095	3221	1372	8.255936019046492e-05
PJPBKL_02420	1409	1371	0.0001885946609193147
PJPBKL_43895	1154	1369	6.096825264890277e-05
PJPBKL_65645	2867	1369	9.255048251097601e-05
APJOLJ_01225	1526	1368	0.00011050136711048061
PJPBKL_67325	2804	1368	7.064408730845362e-05
PJPBKL_43515	1976	1366	6.483618478361152e-05
PJPBKL_76780	1205	1366	8.621457166869658e-05
CAAFCJ_20480	1691	1364	0.00015634129134719263
PJPBKL_61430	4376	1364	6.04143335621807e-05
PJPBKL_23005	1766	1363	0.00013104382456323693
PJPBKL_70410	803	1358	6.0343069169706056e-05
PJPBKL_53550	1568	1357	7.849294052290552e-05
PJPBKL_29915	1241	1356	6.793919670048082e-05
PJPBKL_16790	1352	1355	7.010275722384901e-05
PJPBKL_37780	1181	1354	6.367731753696968e-05
PJPBKL_73635	1718	1354	0.0001444074975911308
PJPBKL_76675	2279	1350	0.00011481334643864828
PJPBKL_70530	1181	1349	0.0001419610300759762
PJPBKL_25975	2555	1348	0.00010225908910267446
PJPBKL_35650	2219	1344	8.926814818066876e-05
PJPBKL_24520	1982	1343	5.955477313189474e-05
PJPBKL_34520	2162	1341	6.938861246344874e-05
PJPBKL_18420	2102	1339	0.00012346697203319474
PJPBKL_69945	1808	1339	6.496465405580535e-05
PJPBKL_12365	3500	1337	7.403998038212261e-05
PJPBKL_55200	2234	1332	0.00011556437853471964
PJPBKL_63995	3281	1332	7.868662653049792e-05
PJPBKL_61670	1643	1328	0.00013731511627114034
PJPBKL_74570	3899	1328	6.601578196816396e-05
PJPBKL_09280	1271	1327	6.511563147121316e-05
PJPBKL_74885	1187	1327	9.797233606053707e-05
PJPBKL_39220	3209	1325	8.00293138296516e-05
PJPBKL_22030	1910	1324	0.00013435614981213554
PJPBKL_23635	2207	1322	0.00017845318457985083
PJPBKL_42835	1493	1321	6.491022711758066e-05
PJPBKL_70130	1496	1314	7.721783098339915e-05
PJPBKL_72765	1121	1314	6.812296488867063e-05
PJPBKL_07545	1358	1312	0.00018725654115103223
PJPBKL_63540	1739	1312	6.676212821488465e-05
PJPBKL_37405	1400	1311	0.00012556892708785568
PJPBKL_70910	1706	1310	6.475879528643883e-05
PJPBKL_75240	1562	1309	0.0001029911707321828
PJPBKL_16685	3581	1305	7.063323912758729e-05
PJPBKL_02025	1487	1304	0.00025573546919678146
PJPBKL_10270	2261	1304	0.00011178408110469571
PJPBKL_23305	1457	1304	0.00029931321955351106
PJPBKL_18295	2909	1303	8.681677051892193e-05
PJPBKL_58280	1139	1302	8.304223514352131e-05
PJPBKL_04885	1556	1301	0.00016205806013058977
PJPBKL_53185	3320	1301	7.595251251903545e-05
PJPBKL_42470	2294	1299	0.00010975357353393702
PJPBKL_77300	2168	1297	0.00011595343810447661
PJPBKL_17970	1037	1295	7.850068855612367e-05
PJPBKL_44775	2150	1295	0.00010024650941789887
PJPBKL_50675	2552	1294	9.827805172256506e-05
PJPBKL_63850	2486	1294	0.00010088720353820838
PJPBKL_75555	3542	1293	7.075431001067559e-05
PJPBKL_21975	3311	1291	7.557357963801471e-05
PJPBKL_68100	737	1289	7.600344658347991e-05
PJPBKL_11065	830	1286	7.145724467586425e-05
PJPBKL_72065	1577	1284	6.747510720166748e-05
PJPBKL_45185	1601	1283	6.682680191851899e-05
PJPBKL_75685	1619	1283	0.00019178674796374275
PJPBKL_62745	1877	1281	6.990807253233132e-05
PJPBKL_10990	1718	1280	0.00017204799517693314
PJPBKL_59450	1436	1277	8.273875215884941e-05
PJPBKL_21655	3539	1276	6.988324190699924e-05
PJPBKL_28045	1352	1276	0.00011354066200672479
PJPBKL_49170	3383	1273	7.293388332673693e-05
PJPBKL_32765	1589	1271	0.0001550331550774102
PJPBKL_75310	1598	1270	6.62245170478788e-05
PJPBKL_00205	1790	1267	6.713385568006673e-05
PJPBKL_72625	1718	1266	0.00013549484734917818
PJPBKL_44955	3872	1261	6.312227893498809e-05
PJPBKL_07295	2306	1260	0.00010590444149961006
PJPBKL_03295	1055	1258	0.00023111658599218445
PJPBKL_45220	1910	1257	0.00012755716035789605
PJPBKL_33015	1418	1255	0.0001235649027563319
PJPBKL_12325	1472	1252	0.00015511021954341502
PJPBKL_03125	1514	1249	0.00015989669800409295
PJPBKL_62835	1631	1249	8.758232276736458e-05
PJPBKL_04580	980	1248	0.00015090422329191034
PJPBKL_44165	1034	1247	7.329243503450723e-05
PJPBKL_69455	1106	1245	6.922212077610566e-05
PJPBKL_04195	2834	1243	8.501082185926539e-05
PJPBKL_23150	1472	1243	7.136650169145241e-05
PJPBKL_29675	1148	1243	0.0001738994741448508
PJPBKL_16160	1259	1240	0.00015302542219543865
PJPBKL_62855	2678	1238	8.960103041758501e-05
PJPBKL_66905	1697	1238	6.704388786541383e-05
PJPBKL_73725	2159	1238	7.998858124697935e-05
PJPBKL_02345	1874	1235	0.00012773217376935614
PJPBKL_69025	1676	1234	0.00014270660602959444
PJPBKL_38170	1526	1233	0.0003062285012682399
PJPBKL_61980	1031	1223	8.25294188729283e-05
PJPBKL_68800	3536	1221	6.69277676779836e-05
PJPBKL_30185	1031	1217	0.00011279647226368333
PJPBKL_76665	2177	1216	7.941624660101124e-05
PJPBKL_34260	1847	1214	0.0001273956864873516
PJPBKL_28355	440	1213	4.8895988948212816e-05
PJPBKL_47805	1955	1213	0.00012025882915803849
PJPBKL_62650	1103	1213	0.00011263813451401129
PJPBKL_66535	1835	1212	6.569877141344176e-05
PJPBKL_18490	2873	1211	8.169800456930703e-05
PJPBKL_13635	1025	1210	6.485943882280184e-05
PJPBKL_68465	3338	1208	7.014287037540438e-05
PJPBKL_10325	3164	1207	7.393902635111463e-05
PJPBKL_64810	3653	1205	6.393524103437736e-05
PJPBKL_56325	2318	1202	0.00010050645801728266
PJPBKL_59040	1718	1201	0.0001428280405862278
PJPBKL_15160	1766	1194	0.00014959190358433162
PJPBKL_33090	1310	1193	6.539640967367051e-05
PJPBKL_54760	941	1193	7.332689690714359e-05
PJPBKL_56655	1346	1193	9.143902729562842e-05
PJPBKL_35760	1541	1189	6.791943323392067e-05
PJPBKL_10540	2183	1185	0.0002027006343789179
PJPBKL_75890	2378	1184	8.492954565869045e-05
PJPBKL_19530	1925	1183	0.0002253368818864356
APJOLJ_51090	923	1181	0.0002479996847046871
PJPBKL_53950	1508	1181	6.426456835977979e-05
PJPBKL_60735	2795	1181	8.189757029782691e-05
PJPBKL_35475	2360	1179	8.779476775722011e-05
CAAFCJ_41605	1472	1178	0.00016485398545700814
PJPBKL_24650	2579	1176	8.838100011305184e-05
PJPBKL_21600	2789	1175	8.165678643004217e-05
PJPBKL_26135	1394	1174	7.313510723030733e-05
PJPBKL_54125	3062	1173	6.576779678701718e-05
APJOLJ_25235	1532	1170	0.0001480232817640484
PJPBKL_13190	1541	1170	7.144118162382768e-05
PJPBKL_17295	1376	1168	8.212077758351371e-05
PJPBKL_33030	1937	1168	7.36463327286518e-05
PJPBKL_53495	1616	1167	7.316298408761663e-05
PJPBKL_51725	1334	1165	8.485158312825185e-05
PJPBKL_05975	1643	1164	9.48465236099629e-05
PJPBKL_31555	1538	1164	0.00014668968532736252
PJPBKL_60530	2189	1164	6.720459162785736e-05
PJPBKL_67845	2699	1163	8.351793779003723e-05
PJPBKL_22670	1784	1162	0.0001262450068145389
PJPBKL_26395	1907	1162	0.000118102303176265
PJPBKL_73255	3353	1161	6.71122189737442e-05
PJPBKL_23455	1532	1160	6.844495336269247e-05
PJPBKL_34050	2009	1160	0.0002661795557090948
PJPBKL_49745	3308	1159	0.00011290655225500474
PJPBKL_73690	971	1158	7.06621690147023e-05
PJPBKL_74865	1439	1158	0.00012324327548879965
PJPBKL_70765	740	1157	6.783767836058355e-05
PJPBKL_13340	1688	1155	0.00012940599782054445
PJPBKL_63590	3062	1155	7.424988029949099e-05
PJPBKL_04795	2114	1153	0.00013917772097765351
PJPBKL_53665	1370	1153	0.00015746264028223042
PJPBKL_73500	1355	1152	8.210611993458082e-05
PJPBKL_18410	3386	1151	6.588572086155739e-05
CAAFCJ_23735	3635	1150	6.131918264073183e-05
PJPBKL_25290	2354	1150	7.632665109875099e-05
PJPBKL_51010	884	1150	0.00011203960453218549
PJPBKL_02060	2006	1148	0.00010676632187501042
PJPBKL_07085	1478	1148	0.00015054640393959002
PJPBKL_18815	1133	1147	8.023167608400879e-05
PJPBKL_41985	965	1146	6.0255524820651556e-05
PJPBKL_20035	2048	1145	0.00010836236289462634
PJPBKL_31505	2462	1144	9.006185916735242e-05
PJPBKL_02585	977	1141	6.923629111812738e-05
PJPBKL_08795	2441	1141	9.059845614727668e-05
PJPBKL_36520	2156	1141	6.805343562014543e-05
PJPBKL_50805	2375	1140	9.3034530323086e-05
PJPBKL_63645	2327	1140	7.046556067659609e-05
PJPBKL_39395	2537	1139	8.701741725626968e-05
PJPBKL_28350	2240	1137	9.838193915304017e-05
PJPBKL_60935	3035	1137	7.261138178016804e-05
PJPBKL_58375	2357	1135	6.669053536630493e-05
PJPBKL_09545	2246	1133	9.777393408286625e-05
PJPBKL_60080	1328	1132	6.071530593374087e-05
PJPBKL_07080	1046	1130	7.226630581979673e-05
PJPBKL_08905	1385	1130	0.00012874814665649688
PJPBKL_37785	3038	1130	7.209308431059852e-05
PJPBKL_54560	2930	1130	7.475044031931683e-05
PJPBKL_31295	2309	1129	9.477044963076016e-05
PJPBKL_00110	1688	1127	0.0001326210536670176
PJPBKL_16490	890	1127	7.927099493820999e-05
PJPBKL_38090	3545	1127	6.161842717096729e-05
CAAFCJ_71715	2813	1126	7.758389704333662e-05
PJPBKL_07190	1241	1125	8.37135848999028e-05
PJPBKL_33555	1871	1121	6.515980711431175e-05
PJPBKL_17275	1466	1120	0.0001480767876902233
PJPBKL_34015	974	1120	6.268368637014907e-05
PJPBKL_42825	1457	1118	0.0001734686392434571
PJPBKL_11755	1091	1117	0.00016539708931178024
PJPBKL_31765	1934	1116	0.00011184347621570578
PJPBKL_47370	2087	1115	0.0001035512511082903
PJPBKL_23725	3206	1114	6.734798475509319e-05
CAAFCJ_39865	1370	1113	7.229416817989195e-05
PJPBKL_36155	1331	1112	7.018946220843892e-05
PJPBKL_38065	2150	1112	0.00011674391159728331
PJPBKL_56175	776	1112	7.193391519826238e-05
PJPBKL_12020	1868	1109	0.0001150688059068326
PJPBKL_51925	1025	1109	0.00012385694585695395
PJPBKL_67890	1670	1109	7.729665318759391e-05
PJPBKL_70895	974	1109	9.59159899378154e-05
APJOLJ_35510	2420	1107	0.0001311101292518008
PJPBKL_23075	1436	1105	0.0001118930269815435
PJPBKL_36530	2006	1105	0.00014512490086539877
PJPBKL_56140	2957	1105	7.242923289863744e-05
PJPBKL_10025	1634	1104	0.00013095435724791787
PJPBKL_42290	3056	1104	7.001944363321264e-05
PJPBKL_20330	1424	1102	7.104989587525002e-05
PJPBKL_71650	1832	1101	7.458759083626232e-05
PJPBKL_34400	1778	1100	7.80520290955774e-05
PJPBKL_13765	1496	1099	0.00025367871319714015
PJPBKL_44450	1439	1099	7.36765810845611e-05
PJPBKL_54650	998	1098	6.68083634584619e-05
PJPBKL_75775	3353	1098	6.347047065733946e-05
CAAFCJ_71710	1781	1097	0.00011938386646596639
PJPBKL_35640	1817	1096	6.592292668738207e-05
PJPBKL_06590	992	1094	0.00021375121004170046
PJPBKL_10745	3134	1094	6.765832813062121e-05
PJPBKL_10750	3350	1093	6.323802340990858e-05
PJPBKL_74635	1646	1093	6.735488981470889e-05
PJPBKL_55730	1553	1092	0.0001362869005054866
APJOLJ_45215	1502	1091	0.00014078544244130998
PJPBKL_04735	2843	1091	7.437908355499386e-05
PJPBKL_51240	1679	1088	9.050410930774696e-05
PJPBKL_55570	1208	1088	9.49855855947622e-05
PJPBKL_06665	2288	1087	9.208236310933357e-05
PJPBKL_32460	2141	1087	9.36066716819155e-05
PJPBKL_38325	1817	1086	0.00011691185703781677
PJPBKL_18640	1016	1083	0.00015433262596656943
PJPBKL_49430	1418	1083	8.02351746880164e-05
PJPBKL_25785	1709	1082	0.00012271230959818005
PJPBKL_03525	1673	1081	0.00017702326451194886
PJPBKL_13930	830	1081	7.355892834280144e-05
PJPBKL_34165	935	1081	7.006611240909775e-05
PJPBKL_70400	1730	1080	6.710944564490429e-05
PJPBKL_00855	1004	1076	0.00020772151939666447
PJPBKL_50410	2429	1074	8.569977834413542e-05
PJPBKL_28250	1286	1072	8.590863511560235e-05
PJPBKL_15365	1412	1069	7.055557806017795e-05
PJPBKL_30105	2360	1069	9.682884114664407e-05
PJPBKL_24545	1727	1067	0.00011974985989038406
PJPBKL_27155	2117	1067	6.298984103121868e-05
PJPBKL_65490	1910	1066	0.00010817496654058648
CAAFCJ_20510	896	1065	0.00023037987070797665
PJPBKL_07100	1415	1065	0.00010259549942872707
PJPBKL_48910	1376	1065	7.240150888151981e-05
PJPBKL_14865	944	1063	6.919278936899714e-05
PJPBKL_50110	1127	1063	6.741632632107682e-05
PJPBKL_60940	1307	1063	0.00011952600012816775
PJPBKL_75195	2549	1063	8.082884279246798e-05
PJPBKL_24105	1400	1062	7.822099647699939e-05
PJPBKL_45120	1520	1061	0.00012279639898729692
PJPBKL_59090	1505	1061	0.0001259520634772676
PJPBKL_66040	2456	1060	0.00011127399544953793
PJPBKL_22815	3032	1059	6.769704238961363e-05
PJPBKL_41325	1556	1059	7.822633494389729e-05
PJPBKL_31380	2132	1058	9.545639544172169e-05
PJPBKL_28095	1127	1056	7.051197395826911e-05
PJPBKL_44525	3101	1056	6.600321403121227e-05
PJPBKL_18870	1037	1054	0.00013438570255203076
PJPBKL_29820	1928	1052	8.404312256883202e-05
PJPBKL_14025	1514	1051	6.388186733710358e-05
PJPBKL_26050	1838	1051	0.00011083071655055699
PJPBKL_62940	1541	1051	8.074865951143902e-05
PJPBKL_09015	2132	1050	9.61836822641348e-05
PJPBKL_22780	2114	1050	9.626917458928602e-05
PJPBKL_30005	2108	1050	6.895941823046579e-05
